Facility Name,Type,PCC ID,Finance ID,Paylocity ID,Address,City,State,ZIP,County,Telephone,Fax,AR Start Date,Company,Team,Beds,NPI,CCN,EIN,TimeZone
Creekside Health and Rehabilitation of Cascadia,SNF,59,305,164612,3500 Hilyard Street,Eugene,OR,97405,Lane,(541) 687-9211,(541) 687-9687,04/01/23,Columbia,Evergreen Alliance,87,1144930009,385147,921203020,-3
Creekside of Olympus Retirement Living ILF,ILF,61,306,164613,3500 Hilyard St.,Eugene,OR,97405,Lane,(541) 687-9211,,04/01/23,Olympus,Olympus,24,1851001622,,884345436,-3
Creekside-The Abbey of Olympus Retirement Living ILF,ILF,60,306,164613,494 West 10th Ave,Eugene,OR,97401,Lane,(541) 342-6077,,04/01/23,Olympus,Olympus,50,1851001622,,884345436,-3
Curry Village Health and Rehabilitation of Cascadia,SNF,64,303,164611,1 Park Ave,Brookings,OR,97415,Curry,(541) 469-3111,(541) 216-5083,04/01/23,Columbia,Evergreen Alliance,59,1447960307,385165,921202871,-3
Curry Village of Cascadia - Hillside Apartments ILF,ILF,65,304,164611,420 Hillside Ave,Brookings,OR,97415,Curry,(541) 469-3111,,04/01/23,Columbia,Evergreen Alliance,14,1447960307,,921202871,-3
Eagle Rock Health and Rehabilitation of Cascadia,SNF,52,127,164607,840 East Elva Street,Idaho Falls,ID,83401,Bonneville,(208) 523-4795,(208) 522-9175,03/01/23,Envision,Wolfpack,113,1972220473,135092,920816033,-2
Fairlawn Health and Rehabilitation of Cascadia,SNF,62,307,164614,3457 NE Division Street,Gresham,OR,97030,Multnomah,(503) 667-1965,(541) 366-5764,04/01/23,Columbia,Trail Blazers,82,1417667262,385133,921212858,-3
Fairlawn of Olympus Retirement Living ILF,ILF,63,308,164615,1280 NE Kane Drive,Gresham,OR,97030,Multnomah,(877) 949-5678,,04/01/23,Olympus,Olympus,119,1306556154,,921212994,-3
Grangeville Health and Rehabilitation of Cascadia,SNF,48,122,148742,410 Northeast 2nd Street,Grangeville,ID,83530,Idaho,(208) 983-1131,(208) 983-9140,03/01/22,Three Rivers,Two Rivers,60,1740942622,135080,872653987,-3
Highland Health & Rehabilitation of Cascadia,SNF,41,406,150215,2400 Samish Way,Bellingham,WA,98229,Whatcom,(360) 734-4800,(360) 734-1013,02/01/22,Columbia,Pacific Storm,44,1811656259,505140,873883909,-3
Hudson Bay Health & Rehabilitation,SNF,38,403,140364,8507 NE 8th Way,Vancouver,WA,98664,Clark,(360) 254-5335,(360) 892-2086,09/01/21,Columbia,Bigfoot,92,1790352078,505260,870960997,-3
Lewiston Transitional Care of Cascadia,SNF,25,109,80750,3315 8th Street,Lewiston,ID,83501,Nez Perce,(208) 743-9543,(208) 743-3945,10/01/17,Three Rivers,Two Rivers,96,1477064780,135021,822108759,-3
Libby Care Center of Cascadia,SNF,15,201,80751,308 East Third Street,Libby,MT,59923,Lincoln,(406) 293-6285,,01/01/17,Northern,Golden Meadowlarks,101,1750824546,275040,814402637,-2
Mount Ascension Transitional Care of Cascadia,SNF,36,202,129886,2475 Winne Avenue,Helena,MT,59601,Lewis and Clark,(406) 442-1350,(406) 389-8083,03/01/21,Northern,Golden Meadowlarks,108,1780274373,275044,861518836,-2
Mountain Valley of Cascadia,SNF,22,106,80752,601 West Cameron Avenue,Kellogg,ID,83837,Shoshone,(208) 784-1283,(208) 784-0151,09/01/17,Northern,North By Northwest,68,1396261202,135065,822120477,-3
Mountain View of Cascadia,SNF,55,203,164606,10 Mountain View Dr,Eureka,MT,59917,Lincoln,(406) 297-2541,(406) 297-2543,03/01/23,Northern,Golden Meadowlarks,49,1194442681,275084,920808221,-2
NorthPark Health and Rehabilitation of Cascadia,SNF,35,501,122560,2020 North 95th Avenue,Phoenix,AZ,85037,Maricopa,(623) 248-5696,(623) 259-9584,02/01/21,Vincero,Rising Phoenix,54,1710598420,35299,852491895,-2
Olympus Living at Spokane Valley - ILF,ILF,70,410,164623,17117 East 8th Avenue,Spokane Valley,WA,99016,Spokane,(509) 924-6161,,07/01/23,Olympus,Olympus,136,1437130218,,921228655,-3
Olympus Living at Spokane Valley-ALF,ALF,69,410,164623,17117 East 8th Avenue,Spokane Valley,WA,99016,Spokane,(509) 924-6161,(877) 477-7237,07/01/23,Olympus,Olympus,14,1528778107,,921228655,-3
Paradise Creek Fairview Estates of Olympus Retirement - ILF,ILF,67,132,164609,403 Samaritan Lane,Moscow,ID,83843,Latah,(208) 882-6560,,05/01/23,Olympus,Olympus,60,1689391161,,884214254,-3
Paradise Creek Health and Rehabilitation of Cascadia - SNF,SNF,53,131,164608,640 N Eisenhower Street,Moscow,ID,83843,Latah,(208) 882-6560,(986) 600-5662,05/01/23,Three Rivers,Palouse PAC,63,1811614332,135067,920816969,-3
Paradise Creek of Olympus Retirement Living - ALF,ALF,54,132,164609,640 North Eisenhower Street,Moscow,ID,83843,Latah,(208) 882-6560,(208) 883-1588,05/01/23,Olympus,Olympus,36,1689391161,,884214254,-3
Paradise Creek of Olympus Retirement Living - ILF,ILF,66,132,164609,640 North Eisenhower St.,Moscow,ID,83843,Latah,(208) 882-6560,,05/01/23,Olympus,Olympus,62,1689391161,,884214254,-3
Payette Healthcare of Cascadia,SNF,33,118,115720,1019 3rd Avenue South,Payette,ID,83661,Payette,(208) 642-4455,(208) 642-2750,06/01/20,Envision,Tomahawk,80,1235683806,135015,813251202,-2
Royal Plaza Health and Rehabilitation of Cascadia,SNF,42,124,150247,2870 Juniper Dr,Lewiston,ID,83501,Nez Perce,(208) 746-2855,(208) 746-4994,02/01/22,Three Rivers,Two Rivers,75,1558022319,135116,874144815,-3
Royal Plaza of Olympus Living - ALF,ALF,46,125,150246,2870 Juniper Dr,Lewiston,ID,83501,Nez Perce,(208) 746-2800,(208) 746-0164,05/01/22,Olympus,Olympus,110,1982365763,,874141434,-3
Salem Transitional Care,SNF,73,310,346645,3445 Boone Road SE,Salem,OR,97317,Marion,(503) 576-3000,(503) 585-8046,12/01/25,Columbia,Evergreen Alliance,80,1215071998,385234,394612520,-3
Secora Rehabilitation of Cascadia,SNF,18,301,80755,10435 Southeast Cora Street,Portland,OR,97266,Multnomah,(503) 760-1737,(503) 928-3965,07/01/17,Columbia,Trail Blazers,53,1700319381,385264,821113614,-3
Shaw Mountain of Cascadia,SNF,12,101,80756,909 E. Reserve St.,Boise,ID,83712,Ada,(208) 343-7717,(208) 336-4629,05/01/16,Envision,Triple Threat,108,1700245594,135090,364823048,-2
Silverton Health and Rehabilitation of Cascadia,SNF,56,128,164610,405 West 7th St.,Silverton,ID,83867,Shoshone,(208) 556-1147,(208) 753-0080,03/01/23,Northern,North By Northwest,50,1841917481,135058,920802533,-3
Silverton of Cascadia Retirement Living-ALF,ALF,57,129,164610,405 West 7th Street,Silverton,ID,83843,Shoshone,(208) 556-1147,(208) 556-0157,03/01/23,Northern,North By Northwest,14,1235901018,,920802533,-3
Silverton of Cascadia Retirement Living-ILF,ILF,58,129,164610,405 West 7th St.,Silverton,ID,83867,Shoshone,(208) 556-1147,,03/01/23,Northern,North By Northwest,14,1235901018,,920802533,-3
Snohomish Health and Rehabilitation of Cascadia,SNF,43,407,150213,800 10th St,Snohomish,WA,98290,Snohomish,(360) 568-3161,(360) 568-4455,02/01/22,Columbia,Bigfoot,91,1598424954,505338,873884081,-3
Spokane Valley Health and Rehabilitation of Cascadia,SNF,68,409,164622,17121 East 8th Avenue,Spokane Valley,WA,99016,Spokane,(509) 924-6161,(509) 824-7829,07/01/23,Northern,Northern FORCE,97,1801506480,505099,921228326,-3
Stafholt Health and Rehabilitation of Cascadia,SNF,71,411,164621,456 C Street,Blaine,WA,98230,Whatcom,(360) 332-8733,(360) 332-8734,07/01/23,Columbia,Pacific Storm,57,1386354231,505395,921202536,-3
Teton Healthcare of Cascadia,SNF,44,126,150245,3111 Channing Way,Idaho Falls,ID,83404,Bonneville,(208) 529-0067,(208) 908-6867,02/01/22,Envision,Wolfpack,88,1467113233,135138,874144931,-2
The Cove of Cascadia - ALF,ALF,30,115,110750,620 N. 6th Street,Bellevue,ID,83313,Blaine,(208) 788-7180,(208) 788-7210,02/01/20,Envision,Wolfpack,16,1861946436,,813251059,-2
The Cove of Cascadia - SNF,SNF,29,114,110750,620 N. 6th Street,Bellevue,ID,83313,Blaine,(208) 788-7180,(208) 788-7210,02/01/20,Envision,Wolfpack,32,1861946436,135069,813251059,-2
The Orchards of Cascadia,SNF,24,111,80754,404 North Horton Street,Nampa,ID,83651,Canyon,(208) 466-9292,,10/01/17,Envision,Ascend,100,1912418229,135019,822108874,-2
Twin Falls Transitional Care of Cascadia,SNF,34,116,115719,674 Eastland Drive,Twin Falls,ID,83301,Twin Falls,(208) 734-4264,(208) 734-0647,06/01/20,Envision,Wolfpack,104,1437603008,135104,813270450,-2
Village Manor of Cascadia,SNF,49,302,142899,2060 NE 238th Dr,Wood Village,OR,97060,Multnomah,(503) 491-0553,(503) 618-8162,07/01/22,Columbia,Trail Blazers,60,1497492672,3.80E+175,881996449,-3
Weiser Care of Cascadia,SNF,23,110,80757,331 East Park Street,Weiser,ID,83672,Washington,(208) 549-2416,(208) 549-0536,10/01/17,Envision,Tomahawk,76,1821509134,135010,822120311,-2
Wellspring Health and Rehab of Cascadia,SNF,17,104,80758,2105 12th Ave,Nampa,ID,83686,Canyon,(208) 467-5721,(208) 467-2748,05/01/17,Envision,Ascend,120,1699208280,135094,821113412,-2
,,,,,,,,,,,,,,,,,,,
"Applied filters:
Facility Name is not Las Cruces Post Acute Rehabilitation
Facility is not Las Cruces
Facility is not Las Cruces",,,,,,,,,,,,,,,,,,,
